emoji,emoji_name,emoji_count,emoji_senti,txt_senti,conflict,txt,full_txt
😂, Face With Tears Of Joy ,1179,positive,negative,True,先说结论：不会！ ,先说结论：不会！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True, 这意味着，她需要 60 秒才能移动 600 码！ , 这意味着，她需要 60 秒才能移动 600 码！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，老铁，你描述的这个英雄简直是 LOL 历史上最强的废柴之一！ ,哎呀，老铁，你描述的这个英雄简直是 LOL 历史上最强的废柴之一！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,但是，如果你儿子真的要打你老子，你最好还是劝阻一下你的儿子，告诉他，尊老爱幼是中华民族的传统美德，不能随便打人家的老子！,但是，如果你儿子真的要打你老子，你最好还是劝阻一下你的儿子，告诉他，尊老爱幼是中华民族的传统美德，不能随便打人家的老子！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哇哈哈，老鼠变异成小象？那得需要老鼠吃多少辣条啊！,哇哈哈，老鼠变异成小象？那得需要老鼠吃多少辣条啊！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，我的小朋友，你这是被环境污染给气炸了吧？,哎呀，我的小朋友，你这是被环境污染给气炸了吧？😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，你这个想法太天真啦！,哎呀，你这个想法太天真啦！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哈哈哈，你是说公交车是“人吞兽”吗？,哈哈哈，你是说公交车是“人吞兽”吗？😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,运动确实可以加快细胞新陈代谢，但这并不意味着越运动越容易狗带！ ,运动确实可以加快细胞新陈代谢，但这并不意味着越运动越容易狗带！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，老铁，你这是要让列车员们崩溃吗？ ,哎呀，老铁，你这是要让列车员们崩溃吗？ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,️ 等待火车，等待公交，等待吃饭... ,️ 等待火车，等待公交，等待吃饭... 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,九个太阳，它该往哪边看呢？左边看？右边看？还是闭上眼睛，假装什么都没看到？,九个太阳，它该往哪边看呢？左边看？右边看？还是闭上眼睛，假装什么都没看到？😂
😂, Face With Tears Of Joy ,1179,positive,negative,True, 如果你站在黑洞边上，那你就慢了！ , 如果你站在黑洞边上，那你就慢了！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！你每天吃山楂？那你一定是超级爱吃山楂的山楂迷吧！ ,哇哇哇！你每天吃山楂？那你一定是超级爱吃山楂的山楂迷吧！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,你只能选择：要么适应这种规律，要么变成一个疯狂的家长！ ,你只能选择：要么适应这种规律，要么变成一个疯狂的家长！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,其次，中国有13亿人口，老外看到的中国人基本都是「中国制造」的产物，都是「Made in China」！ ,其次，中国有13亿人口，老外看到的中国人基本都是「中国制造」的产物，都是「Made in China」！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老铁，你问的这个问题太tm有料了！ ,哎呀，老铁，你问的这个问题太tm有料了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，嘴巴笨的你,哎呀，嘴巴笨的你😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,总之，蛋白质包括抗体，都是大分子生物分子，需要被分解吸收后才能发挥作用。口服抗体当然不能起效，除非你有一个超级强的肠道免疫系统！ ,总之，蛋白质包括抗体，都是大分子生物分子，需要被分解吸收后才能发挥作用。口服抗体当然不能起效，除非你有一个超级强的肠道免疫系统！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老兄，你问的这个问题真的很timely！ ,哎呀，老兄，你问的这个问题真的很timely！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀，历史上的这个问题真的很让人头疼！ ,哎呀，历史上的这个问题真的很让人头疼！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,要造外星生命？那得需要宇宙级的技术和资源啊！我们人类现在还在摸索如何让自己在火星上生存呢，还谈什么造外星生命？,要造外星生命？那得需要宇宙级的技术和资源啊！我们人类现在还在摸索如何让自己在火星上生存呢，还谈什么造外星生命？😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老兄，你问的问题太经典了！ ,哎呀，老兄，你问的问题太经典了！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇，你真的很好奇啊！,哇哇哇，你真的很好奇啊！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，我的朋友，你的想法真的很有趣！,哎呀，我的朋友，你的想法真的很有趣！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,不要总是怪老师，怪自己不努力！ ,不要总是怪老师，怪自己不努力！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈，哎呀，这个问题真的很搞笑！,哈哈哈，哎呀，这个问题真的很搞笑！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀，问题太深刻了！,哎呀，问题太深刻了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,所以，留刘海可以说是“遮丑”发际线的方法之一 ,所以，留刘海可以说是“遮丑”发际线的方法之一 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，日本幕府统治时期的天皇啊，简直就是个「挂名」头衔！,哎呀，日本幕府统治时期的天皇啊，简直就是个「挂名」头衔！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,️一旦你回到空调房间或凉爽的地方，身高就会恢复原状。所以，炎热的天气不会真正地让人变得更高！ ,️一旦你回到空调房间或凉爽的地方，身高就会恢复原状。所以，炎热的天气不会真正地让人变得更高！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老兄，你问的问题太深奥了！ ,哎呀，老兄，你问的问题太深奥了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，老总们的意见真是一团乱麻！ ,哎呀，老总们的意见真是一团乱麻！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈，这个问题真的很逗！,哈哈哈，这个问题真的很逗！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，机动战士的操作方式确实让人摸不着头脑！ ,哎呀，机动战士的操作方式确实让人摸不着头脑！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,所以，当希腊城邦国家团结一致，充分发挥自己的长处，使用灵活的战术和机动的军队时，波斯帝国的强大军队却被卡在官僚主义的泥潭中无法突破！ ,所以，当希腊城邦国家团结一致，充分发挥自己的长处，使用灵活的战术和机动的军队时，波斯帝国的强大军队却被卡在官僚主义的泥潭中无法突破！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,所以，骑自行车的朋友们，记住：转弯时要倾斜身体，否则你可能会变成「飞行骑士」！ ,所以，骑自行车的朋友们，记住：转弯时要倾斜身体，否则你可能会变成「飞行骑士」！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,总之，TNT就是一个非常牛的缩写，它可以炸毁你的敌人，也可以炸毁你的无知,总之，TNT就是一个非常牛的缩写，它可以炸毁你的敌人，也可以炸毁你的无知😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,那我就给你泼个冷水 ,那我就给你泼个冷水 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇！学徒的薪水竟然是1美元！ ,哇！学徒的薪水竟然是1美元！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,也就是说，一块钱硬币的材料成本不到一块钱的1/10！ ,也就是说，一块钱硬币的材料成本不到一块钱的1/10！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,其次，直接射死战将的话岂不是很方便？哈哈，这种想法太现代化啦！ ,其次，直接射死战将的话岂不是很方便？哈哈，这种想法太现代化啦！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哈哈哈，破产？你太夸张了吧！,哈哈哈，破产？你太夸张了吧！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！这个问题太经典了！ ,哇哇哇！这个问题太经典了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,你知道吗，这种情况就像中国古话说的「打狗看主人」，家长的严厉就像是一条鞭子，孩子为了避免被鞭打，就推卸责任，躲避责任 ,你知道吗，这种情况就像中国古话说的「打狗看主人」，家长的严厉就像是一条鞭子，孩子为了避免被鞭打，就推卸责任，躲避责任 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哈哈哈，哎呀，你真的太天真了！书中黄金屋是一句古语，意思是说书籍中蕴含着丰富的知识和智慧，而不是真的书中有黄金可以换钱！你拿书去银行换钱，银行员工一定是被你的创意和幽默感惊到了！,哈哈哈，哎呀，你真的太天真了！书中黄金屋是一句古语，意思是说书籍中蕴含着丰富的知识和智慧，而不是真的书中有黄金可以换钱！你拿书去银行换钱，银行员工一定是被你的创意和幽默感惊到了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,：家人朋友介绍你认识一个异性，当然，这一步骤你是无法逃避的 ,：家人朋友介绍你认识一个异性，当然，这一步骤你是无法逃避的 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,所以，母校里当然有男的！不然，学校岂不是变成了女校了？,所以，母校里当然有男的！不然，学校岂不是变成了女校了？😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False," But, in the early stages, it's not uncommon for them to ""翻车"" due to their fundamentally different approaches to relationships and communication. "," But, in the early stages, it's not uncommon for them to ""翻车"" due to their fundamentally different approaches to relationships and communication. 😂"
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哇哇哇，原神迷妹子的想法被暴露了！,哇哇哇，原神迷妹子的想法被暴露了！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！这是一个非常困难的选择题！ ,哇哇哇！这是一个非常困难的选择题！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哈哈，这个问题真的很有趣！ ,哇哈哈，这个问题真的很有趣！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哈哈哈，答案是：博尔特跑完百米，普通人骑自行车还没骑出一半！ ,哈哈哈，答案是：博尔特跑完百米，普通人骑自行车还没骑出一半！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,️不要太严厉，否则孩子们可能会变成「推卸责任大王」 ,️不要太严厉，否则孩子们可能会变成「推卸责任大王」 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈，哇哦！你说的是真的！很多人嘴上说「看不到未来」，其实是在掩盖自己的「预见未来」能力！,哈哈，哇哦！你说的是真的！很多人嘴上说「看不到未来」，其实是在掩盖自己的「预见未来」能力！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,"至于 ""中猴王""，哈哈，确实听起来很有趣 ","至于 ""中猴王""，哈哈，确实听起来很有趣 😂"
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀，终于有人问到这个问题了！,哎呀，终于有人问到这个问题了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哇哇哇！你问的太专业了！ ,哇哇哇！你问的太专业了！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,总之，月亮的出现跟地球的自转和公转有关，我的朋友，你不需要太过担心，月亮不会逃跑的！ ,总之，月亮的出现跟地球的自转和公转有关，我的朋友，你不需要太过担心，月亮不会逃跑的！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,首先，值得关注的是，减肥的原因是什么？是因为中央国家机关太胖了？,首先，值得关注的是，减肥的原因是什么？是因为中央国家机关太胖了？😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀，英语音标的历史真的很复杂哦！ ,哎呀，英语音标的历史真的很复杂哦！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,️你看，鼻子小，嗅觉当然不强啰！ ,️你看，鼻子小，嗅觉当然不强啰！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,但是，如果你想让精子失活，哈哈，洗澡水的温度远远不够 ,但是，如果你想让精子失活，哈哈，洗澡水的温度远远不够 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，这个问题太逗了！,哎呀，这个问题太逗了！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈，哎呀，这个问题太逗了！,哈哈，哎呀，这个问题太逗了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,现在，关于贝爷的问题... ,现在，关于贝爷的问题... 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,中央国家机关要瘦身了！减肥5%，那是什么概念呢？,中央国家机关要瘦身了！减肥5%，那是什么概念呢？😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀，自走棋不需要你亲自操作？那岂不是让机器人代替你下棋？,哎呀，自走棋不需要你亲自操作？那岂不是让机器人代替你下棋？😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,总之，余额不足不一定是银行破产的原因！ ,总之，余额不足不一定是银行破产的原因！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈！这个狱警太幽默了！,哈哈哈！这个狱警太幽默了！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,是不是因为领导说了算？ ,是不是因为领导说了算？ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,。李寻欢干掉龙凤金环，按照天涯明月刀的说法，李寻欢应该能打天机棒 ,。李寻欢干掉龙凤金环，按照天涯明月刀的说法，李寻欢应该能打天机棒 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈，这个问题真的很有趣！,哈哈哈，这个问题真的很有趣！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,来到人世就吃错了东西，老百姓的苦水煮过的生活经验让魔鬼吃不下去！,来到人世就吃错了东西，老百姓的苦水煮过的生活经验让魔鬼吃不下去！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,员工们会不会更忙了？ ,员工们会不会更忙了？ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哇哇哇！泉州旅游三天，你一定要准备好你的肚子和脚-power！ ,哇哇哇！泉州旅游三天，你一定要准备好你的肚子和脚-power！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,"哇哈哈，李白老爷子说出那句""对影成三人""的时候，恐怕还不知道自己是影分身的发明者吧！","哇哈哈，李白老爷子说出那句""对影成三人""的时候，恐怕还不知道自己是影分身的发明者吧！😂"
😂, Face With Tears Of Joy ,1179,positive,neutral,False,如果我是谈判专家，我一定会问：「你是不是在报prime number序列？！如果是，那我就要你把人质数报出来！」 ,如果我是谈判专家，我一定会问：「你是不是在报prime number序列？！如果是，那我就要你把人质数报出来！」 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,躲在云朵下面？云朵是会移动的呀！你躲在下面，云朵一动，你不就淋雨了吗？,躲在云朵下面？云朵是会移动的呀！你躲在下面，云朵一动，你不就淋雨了吗？😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,️，这是一个非常漂亮的中草药，用于治疗月经不调和痛经。它的名字「当归」非常有趣，意思是「当归家」——好像这个中草药可以让你回家一样！ ,️，这是一个非常漂亮的中草药，用于治疗月经不调和痛经。它的名字「当归」非常有趣，意思是「当归家」——好像这个中草药可以让你回家一样！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，老兄，你问的这个问题真的很timely！ ,哎呀，老兄，你问的这个问题真的很timely！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇，太多问题了！ ,哇，太多问题了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,所以，朱元璋和朱棣两代人消灭不了黄金家族势力的原因就在这里！ ,所以，朱元璋和朱棣两代人消灭不了黄金家族势力的原因就在这里！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，同学！你真的被炸毁了,哎呀，同学！你真的被炸毁了😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，吸尘器这个问题真的很重要啊！ ,哎呀，吸尘器这个问题真的很重要啊！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,首先，父母们要保持冷静，不能被孩子的哇哇哭泣所影响！ ,首先，父母们要保持冷静，不能被孩子的哇哇哭泣所影响！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，哈哈哈！你这个问题真的让人啼笑皆非！玄武门之变是唐朝历史上的大事件，李世民（也就是后来的唐太宗）当时是为了夺取皇位，而孙悟空则是《西游记》中的妖猴，怎么可能会出现在历史事件中？！,哎呀，哈哈哈！你这个问题真的让人啼笑皆非！玄武门之变是唐朝历史上的大事件，李世民（也就是后来的唐太宗）当时是为了夺取皇位，而孙悟空则是《西游记》中的妖猴，怎么可能会出现在历史事件中？！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈，预制菜这个比喻真的太形象了！,哈哈哈，预制菜这个比喻真的太形象了！😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哈哈哈，哎呀，你遇到了「网友」的幽灵啊！ ,哈哈哈，哎呀，你遇到了「网友」的幽灵啊！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哈哈哈，哎呀呀，刘备和曹操的差距太大了！ ,哈哈哈，哎呀呀，刘备和曹操的差距太大了！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,开发商的回应也很有趣，选择多家检测机构，让业主们自己选择？这不是“甩锅”吗？,开发商的回应也很有趣，选择多家检测机构，让业主们自己选择？这不是“甩锅”吗？😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哈哈，问得好！你是不是在想，钟表的刻度之间真的只有几厘米，怎么可能装下那么多时间？这就像问，我的脑袋只有这么大，怎么可能装下那么多废话？ ,哈哈，问得好！你是不是在想，钟表的刻度之间真的只有几厘米，怎么可能装下那么多时间？这就像问，我的脑袋只有这么大，怎么可能装下那么多废话？ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,但是，老兄，请不要告诉咖啡店老板，我算出来的成本这么低，他们可能会把我踢出店门！ ,但是，老兄，请不要告诉咖啡店老板，我算出来的成本这么低，他们可能会把我踢出店门！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,关于换哪个品牌好，哈哈，真的太多选择了！,关于换哪个品牌好，哈哈，真的太多选择了！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈，庄子老爷子是不是很幽默？ ,哈哈，庄子老爷子是不是很幽默？ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,你这是什么逻辑？用生日当密码，安全吗？我看是自寻死路！,你这是什么逻辑？用生日当密码，安全吗？我看是自寻死路！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！你终于发现蒙德骑士团的秘密了！ ,哇哇哇！你终于发现蒙德骑士团的秘密了！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！生物界的资源回收和再利用可谓是史诗般的壮举！ ,哇哇哇！生物界的资源回收和再利用可谓是史诗般的壮举！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,总的来说，刘备和曹操的差距，真的很大！ ,总的来说，刘备和曹操的差距，真的很大！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇哇哇！你真的发现救人良策了吗？,哇哇哇！你真的发现救人良策了吗？😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哈哈，看到这个标题，我就已经笑岔气了！,哇哈哈，看到这个标题，我就已经笑岔气了！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,我想，这句话的创造者一定是一个幽默感非常丰富的人！,我想，这句话的创造者一定是一个幽默感非常丰富的人！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,所以，如果有人声称“宁波清道观道长出去云游被偷家”，我只想说：哇哈哈，你太幽默了！,所以，如果有人声称“宁波清道观道长出去云游被偷家”，我只想说：哇哈哈，你太幽默了！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哇哦！谈判专家一定是丈二和尚摸不着头脑,哇哦！谈判专家一定是丈二和尚摸不着头脑😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，自sha后逃之夭夭？你这是要玩“死亡逃脱”游戏吗？,哎呀，自sha后逃之夭夭？你这是要玩“死亡逃脱”游戏吗？😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,所以，吃货们，吃植物前一定要了解清楚哪些可以吃，哪些不能吃，否则可能会有“寄”的概率！ ,所以，吃货们，吃植物前一定要了解清楚哪些可以吃，哪些不能吃，否则可能会有“寄”的概率！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,哎呀呀！你真的被「门徒」的结局搞糊涂了！ ,哎呀呀！你真的被「门徒」的结局搞糊涂了！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,你问的这个问题，真的戳中了大家的心坎儿！ ,你问的这个问题，真的戳中了大家的心坎儿！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,而且，锁222和现在的132模式，真的就像你说的，都是破罐子破摔的举动 ,而且，锁222和现在的132模式，真的就像你说的，都是破罐子破摔的举动 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,你问的是《原神》的弓箭角色射箭动作是不是都一样？哈哈，答案是：不一样！ ,你问的是《原神》的弓箭角色射箭动作是不是都一样？哈哈，答案是：不一样！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,4. 数据类型不匹配 ,4. 数据类型不匹配 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,估计他需要一段时间来适应这个新的世界，哈哈哈！,估计他需要一段时间来适应这个新的世界，哈哈哈！😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哈哈哈！秦始皇醒来发现自己被封印了几百年，肯定是气炸了！,哈哈哈！秦始皇醒来发现自己被封印了几百年，肯定是气炸了！😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,哎呀，剩余价值论这个老问题！ ,哎呀，剩余价值论这个老问题！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,至于马克思的资本论是否过时了，这个问题就像是一个笑话。 ,至于马克思的资本论是否过时了，这个问题就像是一个笑话。 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，哈哈哈！你终于问出了这个问题！ ,哎呀，哈哈哈！你终于问出了这个问题！ 😂
😂, Face With Tears Of Joy ,1179,positive,neutral,False,我建议你还是多读些救援手册和安全指南，而不是只靠文彦博小时候的经验,我建议你还是多读些救援手册和安全指南，而不是只靠文彦博小时候的经验😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哇哇哇！你真的问到点子上了！ ,哇哇哇！你真的问到点子上了！ 😂
😂, Face With Tears Of Joy ,1179,positive,negative,True,但是，法院也不是吃素的，判决他支付10万生活帮助费，算是给他一个“警告”的！ ,但是，法院也不是吃素的，判决他支付10万生活帮助费，算是给他一个“警告”的！ 😂
😂, Face With Tears Of Joy ,1179,positive,positive,False,哎呀，林妹妹的粉丝们又出来啦！ ,哎呀，林妹妹的粉丝们又出来啦！ 😂
